Year,County,BLM,USFS,State,County and Municipal,Industry,NIP,Native American,Total Of Volume,Total Private,Total Public
1962,BAKER,5858,58900,0,0,0,6540,0,71298,6540,64758
1962,BENTON,33001,6100,4376,0,22830,21793,0,88100,44623,43477
1962,CLACKAMAS,38314,208600,175,0,108556,11393,0,367038,119949,247089
1962,CLATSOP,0,0,24340,0,206050,6049,0,236439,212099,24340
1962,COLUMBIA,0,0,0,0,15486,21183,0,36669,36669,0
1962,COOS,128475,33700,25910,0,307841,27053,0,522979,334894,188085
1962,CROOK,2464,98900,0,0,12383,1134,0,114881,13517,101364
1962,CURRY,8511,100700,200,0,327809,53970,0,491190,381779,109411
1962,DESCHUTES,1610,60400,0,0,10266,613,0,72889,10879,62010
1962,DOUGLAS,340196,353500,26686,0,517057,81260,0,1318699,598317,720382
1962,GILLIAM,0,0,0,0,0,0,0,0,0,0
1962,GRANT,1784,134100,0,0,16843,20737,0,173464,37580,135884
1962,HARNEY,14,50100,0,0,0,0,0,50114,0,50114
1962,HOOD RIVER,0,54000,0,0,15080,4215,0,73295,19295,54000
1962,JACKSON,74552,156600,0,0,199466,17796,0,448414,217262,231152
1962,JEFFERSON,0,44200,0,0,2305,0,11105,57610,13410,44200
1962,JOSEPHINE,115237,60800,0,0,23615,14548,0,214200,38163,176037
1962,KLAMATH,7367,105400,0,0,121658,14290,0,248715,135948,112767
1962,LAKE,0,93500,0,0,70786,2766,0,167052,73552,93500
1962,LANE,168438,731400,5055,0,756300,47888,0,1709081,804188,904893
1962,LINCOLN,13524,150800,7200,0,193684,22680,0,387888,216364,171524
1962,LINN,51620,237700,0,0,287301,41292,0,617913,328593,289320
1962,MALHEUR,0,0,0,0,0,0,0,0,0,0
1962,MARION,11159,78200,8300,0,4100,5610,0,107369,9710,97659
1962,MORROW,0,20800,0,0,22101,1558,0,44459,23659,20800
1962,MULTNOMAH,151,24600,0,0,400,9019,0,34170,9419,24751
1962,POLK,28289,600,516,0,53254,6034,0,88693,59288,29405
1962,SHERMAN,0,0,0,0,0,0,0,0,0,0
1962,TILLAMOOK,42268,24900,62883,0,95396,6858,0,232305,102254,130051
1962,UMATILLA,0,33400,0,0,50253,60833,11779,156265,122865,33400
1962,UNION,0,67700,0,0,13107,22195,0,103002,35302,67700
1962,WALLOWA,440,27300,0,0,28577,26606,0,82923,55183,27740
1962,WASCO,5,42300,1380,0,14640,10180,30143,98648,54963,43685
1962,WASHINGTON,4671,0,1966,0,6534,10905,0,24076,17439,6637
1962,WHEELER,5,15700,0,0,8302,3121,0,27128,11423,15705
1962,YAMHILL,26089,0,0,0,6005,1078,0,33172,7083,26089
1963,BAKER,767,61200,0,,256,2729,0,64952,2985,61967
1963,BENTON,40324,39900,8875,,25889,19996,0,134984,45885,89099
1963,CLACKAMAS,23363,212300,2467,,91374,12054,0,341558,103428,238130
1963,CLATSOP,0,0,39872,,184794,12006,0,236672,196800,39872
1963,COLUMBIA,1527,0,1184,,49960,44725,0,97396,94685,2711
1963,COOS,193499,54800,28137,,297903,38899,0,613238,336802,276436
1963,CROOK,1150,91000,0,,1880,380,0,94410,2260,92150
1963,CURRY,54829,107300,8874,,280041,39252,0,490296,319293,171003
1963,DESCHUTES,214,49500,0,,10026,121,0,59861,10147,49714
1963,DOUGLAS,401665,374900,11675,,406345,94975,0,1289560,501320,788240
1963,GILLIAM,0,0,0,,0,0,0,0,0,0
1963,GRANT,3793,214200,3900,,37258,12757,0,271908,50015,221893
1963,HARNEY,1642,24300,0,,2000,0,0,27942,2000,25942
1963,HOOD RIVER,0,34300,290,,14704,3850,0,53144,18554,34590
1963,JACKSON,91845,199100,26,,147064,9938,0,447973,157002,290971
1963,JEFFERSON,219,24600,0,,5221,750,47899,78689,53870,24819
1963,JOSEPHINE,80043,85200,1533,,8960,9830,0,185566,18790,166776
1963,KLAMATH,13265,134300,0,,95161,30493,0,273219,125654,147565
1963,LAKE,0,102700,0,,65557,4433,0,172690,69990,102700
1963,LANE,278746,701100,7163,,547485,36925,0,1571419,584410,987009
1963,LINCOLN,8992,133500,2871,,268887,15080,0,429330,283967,145363
1963,LINN,70847,171900,626,,246054,132412,0,621839,378466,243373
1963,MALHEUR,0,100,0,,0,0,0,100,0,100
1963,MARION,15226,86600,23856,,2590,7735,0,136007,10325,125682
1963,MORROW,0,5400,0,,14440,3436,0,23276,17876,5400
1963,MULTNOMAH,411,23500,0,,1820,3141,0,28872,4961,23911
1963,POLK,52812,2700,2939,,98215,2876,0,159542,101091,58451
1963,SHERMAN,0,0,0,,0,0,0,0,0,0
1963,TILLAMOOK,18383,53300,63914,,92175,5749,0,233521,97924,135597
1963,UMATILLA,0,50400,0,,21930,27587,5134,105051,54651,50400
1963,UNION,0,72200,275,,6558,35473,0,114506,42031,72475
1963,WALLOWA,179,73700,0,,57040,6357,0,137276,63397,73879
1963,WASCO,137,56700,1400,,17850,16656,18038,110781,52544,58237
