year,month,day,wday,pct_delayed,n_delayed,n_flights,pct_weather_delays,pct_security_delays,is_weekend,time
2008,1,1,2,47.2592059493823,3940,8354,7.40962413215226,0.766100071821882,0,1
2008,1,2,3,47.3912241887906,5141,10857,3.6658377083909,1.44607165883762,0,2
2008,1,3,4,37.9924036896365,3501,9225,2.03794037940379,0.639566395663957,0,3
2008,1,4,5,40.2756073305867,2835,7071,4.24268137462876,0.480837222457927,0,4
2008,1,5,6,48.3759701063524,3366,7005,3.48322626695218,0.556745182012848,1,5
2008,1,6,7,44.2302970783206,3603,8179,3.26445775767209,0.599095243917349,1,6
2008,1,7,1,43.8581314878893,2535,5814,4.59236326109391,0.292397660818713,0,7
2008,1,8,2,45.5522609340252,2458,5406,2.86718460969293,0.369959304476508,0,8
2008,1,9,3,34.7177319074857,1396,4026,2.30998509687034,0.124192747143567,0,9
2008,1,10,4,42.6563454878794,2094,4921,4.42999390367811,0.487705750863646,0,10
2008,1,11,5,45.0366937041329,2332,5192,4.73805855161787,0.192604006163328,0,11
2008,1,12,6,26.5075376884422,633,2410,1.6597510373444,0.29045643153527,1,12
2008,1,13,7,32.0861431368284,1475,4606,2.71385149804603,0.347372991749891,1,13
2008,1,14,1,39.065606361829,1572,4030,6.74937965260546,0.272952853598015,0,14
2008,1,15,2,35.5549116198203,1227,3464,3.49307159353349,0.0577367205542725,0,15
2008,1,16,3,31.4820691843859,992,3167,4.7047679191664,0.157878118092832,0,16
2008,1,17,4,52.3207318713844,3889,7454,10.3434397638852,0.228065468204991,0,17
2008,1,18,5,38.5552059105213,2818,7323,3.31831216714461,0.368701351904957,0,18
2008,1,19,6,38.9364974730828,1772,4565,7.57940854326396,0.153340635268346,1,19
2008,1,20,7,33.1506248629687,1512,4574,2.9951902055094,0.371665937909926,1,20
2008,1,21,1,54.2751403777438,4253,7859,8.91970988675404,0.254485303473724,0,21
2008,1,22,2,51.7754868270332,3616,6997,4.78776618550808,0.171502072316707,0,22
2008,1,23,3,47.7345365670239,2539,5331,6.5653723504033,0.262614894016132,0,23
2008,1,24,4,36.6424116424116,2115,5788,2.93711126468556,0.155494125777471,0,24
2008,1,25,5,42.0545009185548,2747,6549,4.80989464040312,0.29012062910368,0,25
