county,county_code,state,pop_total,pct_aian,pct_asian,pct_black,pct_nonwhite,pct_white,pm_24hr
Baldwin County,1003,Alabama,182265,0.00667160453186295,0.0073958247606507,0.0938468713137465,0.143263928894741,0.856736071105259,17
Clay County,1027,Alabama,13932,0.00394774619580821,0.00172265288544358,0.148291702555268,0.183175423485501,0.816824576514499,14
DeKalb County,1049,Alabama,71109,0.0136269670505843,0.0028547722510512,0.0151598250573064,0.155001476606337,0.844998523393663,17
Etowah County,1055,Alabama,104430,0.00428995499377573,0.0064349324906636,0.151259216700182,0.197328353921287,0.802671646078713,23
Jefferson County,1073,Alabama,658466,0.00264250545965927,0.0139080833330802,0.419953346110505,0.469728125673915,0.530271874326085,25
Madison County,1089,Alabama,334811,0.00761922398009623,0.0246855688731852,0.24006379718707,0.31818249699084,0.68181750300916,17
Mobile County,1097,Alabama,412992,0.00891300557880056,0.0183078606849527,0.346234309623431,0.397937490314582,0.602062509685418,16
Montgomery County,1101,Alabama,229363,0.00256798175817373,0.021019083287191,0.547067312513352,0.604748804297119,0.395251195702881,24
Morgan County,1103,Alabama,119490,0.00872039501213491,0.00578291070382459,0.118712863001088,0.201573353418696,0.798426646581304,16
Russell County,1113,Alabama,52947,0.0041362116833815,0.0044572874761554,0.418059569002965,0.462689104198538,0.537310895801462,19
Tuscaloosa County,1125,Alabama,194656,0.00270220286043071,0.011846539536413,0.2959631349663,0.33727190530988,0.66272809469012,17
Apache County,4001,Arizona,71518,0.7292429877793,0.00283844626527588,0.00244693643558265,0.76741519617439,0.23258480382561,13
La Paz County,4012,Arizona,20489,0.128263946507882,0.00522231441261165,0.006296061301186,0.301771682366148,0.698228317633852,11
Maricopa County,4013,Arizona,3817117,0.0205204608609063,0.0346400175839514,0.049911752770481,0.269925181753664,0.730074818246336,37
Pima County,4019,Arizona,980263,0.0332614818676212,0.0262490780535428,0.0353721399257138,0.256576041327685,0.743423958672316,14
Pinal County,4021,Arizona,375770,0.0557495276365862,0.0172765255342364,0.045812598131836,0.276118370279692,0.723881629720308,41
Santa Cruz County,4023,Arizona,47420,0.00691691269506537,0.00537747785744412,0.00377477857444116,0.265394348376213,0.734605651623788,32
Yuma County,4027,Arizona,195751,0.0156116699276121,0.0118722254292443,0.0200816343211529,0.295630673661948,0.704369326338052,23
Arkansas County,5001,Arkansas,19019,0.00189284399810716,0.00483726799516273,0.245070718754929,0.281823439718177,0.718176560281823,17
