# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-28 13:33:06 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14162500 MCKENZIE RIVER NEAR VIDA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14162500
#            TS   parameter     statistic     Description
#        172054       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        172055       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        172056       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        172057       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        172061       00010     00003     Temperature, water, degrees Celsius (Mean)
#        172062       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        172063       00060     00003     Discharge, cubic feet per second (Mean)
#        232261       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        232262       00300     00003     Dissolved oxygen, water, unfiltered, milligrams per liter (Mean)
#        232263       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	172054_00010_00001	172054_00010_00001_cd	172055_00400_00001	172055_00400_00001_cd	172056_00400_00002	172056_00400_00002_cd	172057_00400_00008	172057_00400_00008_cd	172061_00010_00003	172061_00010_00003_cd	172062_00010_00002	172062_00010_00002_cd	172063_00060_00003	172063_00060_00003_cd	232261_00300_00001	232261_00300_00001_cd	232262_00300_00003	232262_00300_00003_cd	232263_00300_00002	232263_00300_00002_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	14162500	2021-02-27	6.3	P	7.6	A	7.2	A	7.3	A	6.0	P	5.7	P	4690	P	12.7	A	12.3	A	12.0	A
USGS	14162500	2021-02-28	6.7	P	7.6	A	7.2	A	7.3	A	6.3	P	6.0	P	4330	P	12.6	A	12.2	A	11.8	A
USGS	14162500	2021-03-01	6.8	P	7.7	A	7.2	A	7.3	A	6.4	P	6.0	P	4270	P	12.7	A	12.2	A	11.7	A
USGS	14162500	2021-03-02	6.9	P	7.7	A	7.2	A	7.3	A	6.5	P	6.0	P	4170	P	12.6	A	12.1	A	11.7	A
USGS	14162500	2021-03-03	6.8	P	7.7	A	7.3	A	7.3	A	6.4	P	6.0	P	4090	P	12.6	A	12.1	A	11.7	A
USGS	14162500	2021-03-04	6.8	P	7.8	A	7.3	A	7.4	A	6.4	P	6.0	P	3970	P	12.7	A	12.1	A	11.7	A
USGS	14162500	2021-03-05	6.7	P	7.7	A	7.3	A	7.3	A	6.3	P	6.1	P	3980	P	12.6	A	12.1	A	11.8	A
USGS	14162500	2021-03-06	6.7	P	7.8	A	7.3	A	7.4	A	6.4	P	6.1	P	3950	P	12.7	A	12.2	A	11.8	A
USGS	14162500	2021-03-07	6.7	P	7.8	A	7.3	A	7.4	A	6.4	P	6.1	P	3790	P	12.7	A	12.2	A	11.8	A
USGS	14162500	2021-03-08	6.6	P	7.8	A	7.3	A	7.4	A	6.3	P	6.0	P	3640	P	12.6	A	12.2	A	11.8	A
USGS	14162500	2021-03-09	6.7	P	7.9	A	7.3	A	7.4	A	6.4	P	6.1	P	3400	P	12.7	A	12.1	A	11.7	A
USGS	14162500	2021-03-10	6.6	P	8.0	A	7.3	A	7.5	A	6.3	P	5.9	P	3230	P	12.7	A	12.2	A	11.7	A
USGS	14162500	2021-03-11	7.1	P	7.9	A	7.3	A	7.5	A	6.7	P	6.3	P	3130	P	12.7	A	12.1	A	11.6	A
USGS	14162500	2021-03-12	7.1	P	7.9	A	7.3	A	7.5	A	6.7	P	6.2	P	3070	P	12.9	A	12.2	A	11.6	A
USGS	14162500	2021-03-13	7.2	P	7.9	A	7.3	A	7.5	A	6.7	P	6.2	P	3040	P	12.8	A	12.1	A	11.5	A
USGS	14162500	2021-03-14	7.2	P	7.8	A	7.3	A	7.4	A	6.7	P	6.4	P	3030	P	12.6	A	12.1	A	11.6	A
USGS	14162500	2021-03-15	6.6	P	8.0	A	7.4	A	7.5	A	6.3	P	6.0	P	3030	P	12.8	A	12.2	A	11.8	A
USGS	14162500	2021-03-16	7.1	P	8.0	A	7.4	A	7.5	A	6.4	P	5.8	P	2950	P	12.8	A	12.1	A	11.6	A
USGS	14162500	2021-03-17	7.3	P	8.0	A	7.3	A	7.5	A	6.6	P	5.9	P	2910	P	12.8	A	12.0	A	11.4	A
USGS	14162500	2021-03-18	7.2	P	7.9	A	7.3	A	7.4	A	6.9	P	6.4	P	2900	P	12.4	A	11.9	A	11.5	A
USGS	14162500	2021-03-19	7.2	P	8.1	A	7.3	A	7.5	A	6.9	P	6.5	P	2960	P	12.6	A	12.0	A	11.5	A
USGS	14162500	2021-03-20	7.1	P	8.0	A	7.3	A	7.5	A	6.8	P	6.6	P	2990	P	12.6	A	12.1	A	11.6	A
USGS	14162500	2021-03-21	7.0	P	8.0	A	7.3	A	7.5	A	6.7	P	6.4	P	2980	P	12.7	A	12.1	A	11.7	A
USGS	14162500	2021-03-22	6.9	P	7.8	A	7.3	A	7.4	A	6.5	P	6.3	P	3360	P	12.7	A	12.1	A	11.7	A
USGS	14162500	2021-03-23	7.5	P	8.0	A	7.3	A	7.4	A	6.7	P	6.1	P	3390	P	12.7	A	12.1	A	11.5	A
USGS	14162500	2021-03-24	7.4	P	7.9	A	7.3	A	7.4	A	6.6	P	6.2	P	3190	P	12.7	A	12.1	A	11.6	A
USGS	14162500	2021-03-25	7.2	P	8.1	A	7.3	A	7.4	A	6.7	P	6.3	P	3330	P	12.6	A	12.0	A	11.5	A
USGS	14162500	2021-03-26	8.0	P	8.2	A	7.3	A	7.5	A	7.1	P	6.4	P	3230	P	12.7	A	11.9	A	11.3	A
USGS	14162500	2021-03-27	8.2	P	8.1	A	7.3	A	7.5	A	7.4	P	6.6	P	3100	P	12.8	A	11.9	A	11.2	A
USGS	14162500	2021-03-28	8.1	P	8.2	A:[4]	7.3	A:[4]	7.4	A:[4]	7.6	P	7.0	P	3010	P	12.6	A:[4]	11.8	A:[4]	11.3	A:[4]
USGS	14162500	2021-03-29	7.9	P	8.1	A:[4]	7.3	A:[4]	7.5	A:[4]	7.2	P	6.8	P	3190	P	12.9	A:[4]	12.1	A:[4]	11.4	A:[4]
USGS	14162500	2021-03-30	7.6	P	8.1	A	7.3	A	7.5	A	6.9	P	6.1	P	3260	P	13.0	A	12.2	A	11.5	A
USGS	14162500	2021-03-31	8.0	P	8.1	A	7.3	A	7.5	A	7.2	P	6.4	P	3450	P	12.8	A	12.0	A	11.2	A
USGS	14162500	2021-04-01	8.4	P	8.1	A	7.3	A	7.5	A	7.7	P	7.0	P	3470	P	12.5	A	11.7	A	11.1	A
USGS	14162500	2021-04-02	8.3	P	8.1	A	7.3	A	7.5	A	7.8	P	7.2	P	3720	P	12.4	A	11.7	A	11.2	A
USGS	14162500	2021-04-03	8.4	P	8.1	A	7.3	A	7.5	A	7.8	P	7.2	P	3700	P	12.4	A	11.7	A	11.2	A
USGS	14162500	2021-04-04	8.2	P	8.1	A	7.3	A	7.4	A	7.8	P	7.4	P	3710	P	12.4	A	11.7	A	11.2	A
USGS	14162500	2021-04-05	8.1	P	7.9	A	7.3	A	7.4	A	7.6	P	7.0	P	3750	P	12.5	A	11.8	A	11.3	A
USGS	14162500	2021-04-06	8.2	P	7.9	A	7.3	A	7.4	A	7.5	P	6.8	P	3920	P	12.4	A	11.8	A	11.2	A
USGS	14162500	2021-04-07	8.0	P	7.7	A	7.3	A	7.4	A	7.5	P	7.1	P	4470	P	12.3	A	11.8	A	11.4	A
USGS	14162500	2021-04-08	7.7	P	7.8	A	7.3	A	7.4	A	7.4	P	7.2	P	4490	P	12.3	A	11.8	A	11.5	A
USGS	14162500	2021-04-09	8.2	P	7.8	A	7.2	A	7.4	A	7.4	P	6.8	P	4100	P	12.3	A	11.8	A	11.2	A
USGS	14162500	2021-04-10	8.1	P	7.8	A	7.3	A	7.4	A	7.5	P	7.1	P	3090	P	12.3	A	11.8	A	11.3	A
